cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
naive,-1,100.0,0.0,0.0,6.324801545843577,5.203044413785491,9.699705355022653,11.394354334814807,12.269183594059442,50224.31693134532
A0,0,100.0,0.0,0.0,1.2732218905425103,0.861404062624293,2.1292446495771884,2.8408348582648273,3.973182648259467,57677.26678825709
A1,0,100.0,0.0,0.0,1.3957036250079546,1.0292002768187654,2.139781251140093,3.311967516353325,4.722098559815535,25714.24556728394
A2,0,100.0,0.0,0.0,1.3742946759302368,0.9562997669360319,2.187708217855947,3.4294152752620115,4.911981316232627,30517.08315494302
A3,0,100.0,0.0,0.0,1.3816160056169455,0.9540585011384621,2.188142453159339,3.4425123894516076,4.891850296392121,30687.845803134955
A0,1,100.0,0.0,0.0,1.4880087729844609,0.8426658426721806,2.6790459974534904,4.119208375184523,5.926799617978816,68618.24061005299
A1,1,100.0,0.0,0.0,1.3880909004728605,1.1730953001193,2.2063016085368097,2.922395391209202,4.077604030960387,30116.987806606736
A2,1,100.0,0.0,0.0,1.5462919247049633,1.1771302659070955,2.5773968492849,3.2968906953822406,4.0915967831753335,29110.281321982086
A3,1,100.0,0.0,0.0,1.692904362017237,1.2820712811353399,2.6678413769147036,4.040117884565059,5.187803069952707,35961.257245182554
A0,2,100.0,0.0,0.0,1.6269554653958156,1.3739700055434696,2.573341284426315,3.3691723582344224,4.83337924696211,55563.305025189715
A1,2,100.0,0.0,0.0,1.64803315075477,1.3791128287162546,2.3608191249146984,3.4078432966266092,4.045019078057138,27619.81563024412
A2,2,100.0,0.0,0.0,1.1725551637257734,0.8518953722613674,1.715327128187435,3.017680336033725,3.962216705048874,31465.30656987873
A3,2,100.0,0.0,0.0,1.363717659314452,1.0233530925395797,2.2047945556379602,2.775600287551697,3.345140648459193,31828.28664367611
A0,3,100.0,0.0,0.0,1.5949405871916735,1.0746645570911966,2.2169496852854373,4.719902429315117,5.457465680038084,52868.003415089974
A1,3,100.0,0.0,0.0,1.3090402667483982,0.9560410891068946,2.088336982600808,3.1782394175104023,3.751901756866104,28190.22014147958
A2,3,100.0,0.0,0.0,1.4632419544449915,1.0206319395312278,2.291156630791974,3.2669258504061767,4.1980066773608655,27906.562579489386
A3,3,100.0,0.0,0.0,1.652569509552473,1.3222513660659274,2.730790718468242,3.1713840396368767,4.2314329553315275,28343.133915145834
A0,4,100.0,0.0,0.0,1.7518083841385608,1.433619081121402,2.79669995656135,3.4627006946807106,4.989458894098007,56795.90530610471
A1,4,100.0,0.0,0.0,1.3943016590295114,1.0994168628112675,2.1289955453699085,3.078611834447661,4.018620991023994,31008.71849632169
A2,4,100.0,0.0,0.0,1.5197934017103563,1.0143732680108286,2.695683218310388,3.5588491872214973,4.366743342044515,28830.383068580933
A3,4,100.0,0.0,0.0,1.5920286021677432,1.2168700073174346,2.3258789701672717,3.7969121929865204,5.161103385411991,29831.694014367225
naive,-1,100.0,50.0,0.0,6.561285547927006,5.415197782059546,10.139840649585215,12.9471267841295,15.15349968511211,50840.4321536462
A0,0,100.0,50.0,0.0,2.081432726340399,1.4308304173095887,3.278393011439462,5.677913859771209,7.550249058948282,54964.263739267604
A1,0,100.0,50.0,0.0,1.8544450890733961,1.4021165696248612,2.9465115516529465,4.206383782961159,5.314118328228119,31115.222772688296
A2,0,100.0,50.0,0.0,2.2701832401883912,1.5412641668475164,3.647915794242048,6.2467145094870205,8.796357652582685,62041.43441648904
A3,0,100.0,50.0,0.0,1.9306049336714688,1.4947735852548145,2.9566033355270727,4.67443377331026,6.576135045410524,30281.941669785174
A0,1,100.0,50.0,0.0,2.146395680779627,1.191790483656651,3.719959733726308,5.859381646851053,8.13155938776488,56308.184292803366
A1,1,100.0,50.0,0.0,1.9060552246631668,1.1278233493557035,3.059559580455442,5.149561551129423,7.026234221797495,55340.77622703775
A2,1,100.0,50.0,0.0,2.3598069012992964,1.6681556741640406,3.9242426264568544,5.43150691429175,6.0614799428982735,58297.75190951192
A3,1,100.0,50.0,0.0,1.7254428991599984,1.3176527445813615,2.7308229492739144,4.158381917336267,4.988834070694708,45787.09703569447
A0,2,100.0,50.0,0.0,2.0830818549949233,1.2954276477969369,3.3363158310862295,6.2292250879294215,8.38003233312088,60723.50116371067
A1,2,100.0,50.0,0.0,2.052057240756772,1.6349033280437009,3.240519273901986,4.51884788769532,6.580321013653446,32017.116419336653
A2,2,100.0,50.0,0.0,1.957834154739605,1.3022680265801132,3.154484628157699,5.220401310221149,7.013031100340754,56450.700839606994
A3,2,100.0,50.0,0.0,1.9693909330254578,1.7313732471053385,2.978613616071025,4.1848143103763915,5.724662067086058,37995.05282696536
A0,3,100.0,50.0,0.0,2.0328263365815604,1.1573305330747463,3.395790842815918,5.937812054838948,8.213554688050834,52144.22582519234
A1,3,100.0,50.0,0.0,1.5734168345013153,0.940375543277033,2.691250572975534,4.0553797360446895,6.5187845884615285,33437.80916880258
A2,3,100.0,50.0,0.0,2.0592283107053113,1.029213704645656,3.4736087711108845,6.003185010433029,8.767389269940765,54442.70113994862
A3,3,100.0,50.0,0.0,1.775174579992413,1.0725846324883481,3.019442267176487,4.679059172793127,6.744844137076726,31818.34108889008
A0,4,100.0,50.0,0.0,2.383673781085694,1.6122300862689798,3.7596672887457174,6.524132421594719,8.93518602449032,53706.17861384496
A1,4,100.0,50.0,0.0,1.8784993227922258,1.3327242439045268,2.7806032255421136,5.6470080913365495,8.958079437043182,31366.803779133334
A2,4,100.0,50.0,0.0,2.400956187265491,1.7393662297424584,3.7670532690422456,6.418465345244035,8.97816340896155,61830.73506778833
A3,4,100.0,50.0,0.0,2.0932528675952957,1.1892707556355144,3.484567103771667,6.121389187546541,7.949304151074671,38380.037233416246
naive,-1,100.0,100.0,0.0,6.94444142417587,5.699236824784966,10.80852170294854,14.664372243078196,16.96021713062511,51058.88963836123
A0,0,100.0,100.0,0.0,2.9142795302193183,1.4695653450269457,5.102964533942422,7.898701426420388,10.108549522565482,56305.80929188284
A1,0,100.0,100.0,0.0,2.425342777063094,1.7957820958632074,4.072775328101528,5.070963684634283,5.919042408396535,36070.35720910473
A2,0,100.0,100.0,0.0,2.741044404749277,1.545060102000022,4.684865811469298,7.753244845337524,10.50681473916562,59348.31791348177
A3,0,100.0,100.0,0.0,2.4206150195967395,1.7871424404691918,3.7814805802531075,5.57987600590747,6.657948208942244,42184.12306624642
A0,1,100.0,100.0,0.0,2.9418017296567935,2.1358265907101526,5.173893869790301,6.405873704583584,7.323335132753968,55490.510783545025
A1,1,100.0,100.0,0.0,2.1477905831938187,1.7158929192306072,3.3136093059436953,5.181141364277853,6.6078054993456306,48304.02238766023
A2,1,100.0,100.0,0.0,2.828124692285172,2.359422993068866,4.34576530227002,6.609931009576319,9.131709599861097,61197.15540058139
A3,1,100.0,100.0,0.0,2.248259224828517,1.6115241489506502,3.713828187405307,4.994905426377798,6.585857801110819,48753.890424498066
A0,2,100.0,100.0,0.0,2.890459689493953,1.9601629220196155,4.621175166984817,7.902045298673755,9.87196842563155,51528.83684748985
A1,2,100.0,100.0,0.0,2.426534002273412,1.7150960320140076,3.916093041332369,6.629544154740657,8.113487556829185,37101.2605433329
A2,2,100.0,100.0,0.0,2.7113831031994367,1.7950675620319174,4.243616756445154,7.3580508777233335,9.44494298077015,51920.66319824085
A3,2,100.0,100.0,0.0,2.350031866251815,1.9855442979323499,3.6244913318905674,5.55945280981355,7.354083167141027,39806.370633398816
