cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
naive,-1,100.0,100.0,0.0,6.94444142417587,5.699236824784966,10.80852170294854,14.664372243078196,16.96021713062511,51058.88963836123
A0,0,100.0,100.0,0.0,2.9142795302193183,1.4695653450269457,5.102964533942422,7.898701426420388,10.108549522565482,56305.80929188284
A1,0,100.0,100.0,0.0,2.425342777063094,1.7957820958632074,4.072775328101528,5.070963684634283,5.919042408396535,36070.35720910473
A2,0,100.0,100.0,0.0,2.741044404749277,1.545060102000022,4.684865811469298,7.753244845337524,10.50681473916562,59348.31791348177
A3,0,100.0,100.0,0.0,2.4206150195967395,1.7871424404691918,3.7814805802531075,5.57987600590747,6.657948208942244,42184.12306624642
A0,1,100.0,100.0,0.0,2.9418017296567935,2.1358265907101526,5.173893869790301,6.405873704583584,7.323335132753968,55490.510783545025
A1,1,100.0,100.0,0.0,2.1477905831938187,1.7158929192306072,3.3136093059436953,5.181141364277853,6.6078054993456306,48304.02238766023
A2,1,100.0,100.0,0.0,2.828124692285172,2.359422993068866,4.34576530227002,6.609931009576319,9.131709599861097,61197.15540058139
A3,1,100.0,100.0,0.0,2.248259224828517,1.6115241489506502,3.713828187405307,4.994905426377798,6.585857801110819,48753.890424498066
A0,2,100.0,100.0,0.0,2.890459689493953,1.9601629220196155,4.621175166984817,7.902045298673755,9.87196842563155,51528.83684748985
A1,2,100.0,100.0,0.0,2.426534002273412,1.7150960320140076,3.916093041332369,6.629544154740657,8.113487556829185,37101.2605433329
A2,2,100.0,100.0,0.0,2.7113831031994367,1.7950675620319174,4.243616756445154,7.3580508777233335,9.44494298077015,51920.66319824085
A3,2,100.0,100.0,0.0,2.350031866251815,1.9855442979323499,3.6244913318905674,5.55945280981355,7.354083167141027,39806.370633398816
A0,3,100.0,100.0,0.0,3.2168143088327397,2.1291013178095803,5.794905810094818,7.469192274426433,8.320470166857618,57123.999168424845
A1,3,100.0,100.0,0.0,2.097861039327712,1.4315041911252802,3.4121312136270867,5.0257032771162455,6.503946934227585,41230.104997273476
A2,3,100.0,100.0,0.0,2.7738531285901558,2.148222543487909,4.324203447560568,6.847169027632314,8.733885926139806,56679.41639114861
A3,3,100.0,100.0,0.0,2.017325572038222,1.4132899202980458,3.4491682574958276,4.3798607645161,6.055158706140844,42040.04004770483
A0,4,100.0,100.0,0.0,3.391170719093647,2.548792372587968,5.509628099134929,7.146502139065959,8.938519486289735,56895.97002675947
A1,4,100.0,100.0,0.0,2.3057141553556706,1.8593794328835667,3.6844274550039557,5.424723973447034,5.911979321990415,34421.59702995982
A2,4,100.0,100.0,0.0,2.660802030893477,1.8689215194835924,4.246426445941386,7.404628969136742,9.050629172085081,53351.66954676141
A3,4,100.0,100.0,0.0,2.4096410551926977,1.892582468054594,3.6789589315749063,6.1342241484551465,9.020453416105227,44023.60828552917
naive,-1,100.0,100.0,0.1,7.526517917402972,5.77375388486288,12.16014692363548,15.644457701312234,18.085956236337992,51098.08354674722
A0,0,100.0,100.0,0.1,3.3406327922993775,2.499560881459857,4.904776612261121,8.52794684097347,12.053943093619566,57698.462058812576
A1,0,100.0,100.0,0.1,2.3288821225295493,1.5733033362657334,3.6693786294666118,6.751142655928571,12.899361955598621,31946.028996541918
A2,0,100.0,100.0,0.1,3.1168975552686757,1.9630305115874194,4.930498060564029,8.994021321487418,12.358175325403806,61602.41858704871
A3,0,100.0,100.0,0.1,2.2370426687439076,1.4400032088462542,3.487234712525743,6.303894822559201,12.713242761649497,34987.36951251528
A0,1,100.0,100.0,0.1,2.86261896207057,1.9115796500086286,4.494367315514675,8.304529021190683,11.124675864347964,58827.427519388126
A1,1,100.0,100.0,0.1,2.392911347355638,1.6282590520316234,3.8086490759343454,6.364200408675416,8.577507729874782,36047.43612652581
A2,1,100.0,100.0,0.1,3.016958472796078,1.944997068967415,4.514495365088109,8.156453153617397,11.00867336398214,59834.53751839907
A3,1,100.0,100.0,0.1,2.112878578455248,1.606929427817614,3.3612980164315283,4.880531395449921,7.515038210596671,36570.26356806888
A0,2,100.0,100.0,0.1,3.5497267663638663,2.5829650167491187,5.730457030847414,8.198565125809836,12.916434860674386,55241.76703091335
A1,2,100.0,100.0,0.1,2.653063111877285,2.033800784185928,4.034424188325512,6.959353993492859,10.138916640686219,40356.82820691741
A2,2,100.0,100.0,0.1,3.7079929322199257,2.68755311611082,5.906902175759555,9.127716074304416,14.019491076268551,55523.84789127664
A3,2,100.0,100.0,0.1,2.246186730101869,1.5472595177164028,3.5395293512012054,5.639414976841792,10.02468099619395,36048.727036137156
A0,3,100.0,100.0,0.1,2.9534675818307394,1.7278312025667049,4.6938612508632644,8.36812934214789,11.539017079961766,55278.19056200874
A1,3,100.0,100.0,0.1,2.122224029440767,1.4203039585067359,3.1337157695087683,6.351312829750843,8.182353045085307,33800.96201325919
A2,3,100.0,100.0,0.1,2.9211428185035913,1.7119406302306193,4.706869342515058,8.175446996757207,11.214846100290828,56177.68671583603
A3,3,100.0,100.0,0.1,2.1433912157795887,1.3951447315877819,3.379894176610364,5.7852731015643,9.309209592024828,34154.84945420813
A0,4,100.0,100.0,0.1,3.4316073370601448,2.415235051767951,5.479443021654826,7.447403516500373,10.442610385611687,51323.95479081318
