delay_ms,cond,seed,rms,p50,p90,p99,max,jerk
0,teacher,-1,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
0,naive,-1,3.43308938486442,2.8563754301616626,5.2855865402855455,6.293210546025629,6.830713026468729,50729.241976326266
0,P0,0,0.6444644591275837,0.5104089681330398,1.0591297123763563,1.2937464717057878,1.4349421054096894,46766.80807969797
0,P1,0,0.32452754537304823,0.2516718825577347,0.5170568033726161,0.705469974292375,0.9892731831355945,11403.334846773054
0,P2,0,0.2476047184533017,0.17061969401486957,0.4025180961658066,0.621680585223956,0.831947661868341,103680.10535756485
0,P3,0,0.2962304465096222,0.21471373749987302,0.49055937725201204,0.6948746291499172,0.9272733327105556,93864.18859062484
0,P0,1,0.7523683481057307,0.6012243989621547,1.1943687936396117,1.4060465149092447,1.89513373766259,48300.287297609866
0,P1,1,0.37776482948219425,0.2705762020964689,0.606969912583196,0.872982990461144,1.1381934296871776,11706.157019675278
0,P2,1,0.2500058818552671,0.1743984731663062,0.4169144728589629,0.6152264854513305,0.7583835357689992,75923.98633778411
0,P3,1,0.2647883956341461,0.1639412642952133,0.41178749710041984,0.8208803785240235,1.1133084016112065,78559.9185539679
0,P0,2,0.5376621862736367,0.41136479981781804,0.9073702404204292,1.0434595504103281,1.2341891580860533,49560.80395017294
0,P1,2,0.33209497488140566,0.25122074530501476,0.5025604205955668,0.779340854458359,1.0839382111396958,11707.986424644727
0,P2,2,0.264312995164805,0.180913300530842,0.4348022337010349,0.6677664736415494,0.9571600979245574,95920.89764216344
0,P3,2,0.26528289373992325,0.18667108872941185,0.4223926658268245,0.7608992360904475,1.0107818822878443,89075.09733073482
0,P0,3,0.6066634098041789,0.4520303510382793,1.038725599716874,1.2985709119567304,1.5392174563723415,46790.52071853378
0,P1,3,0.3877946783234391,0.2518936374997101,0.66765584621506,0.8277637446435762,1.150373495337064,11655.242591315633
0,P2,3,0.2358649377535118,0.14903770168057898,0.4036767251038403,0.6001200981679204,0.9488757842771491,79594.41758012613
0,P3,3,0.24720714559994847,0.1506279277174798,0.40516080876754756,0.737176706133989,1.2125460149311067,78632.0490907692
0,P0,4,0.6703929533805414,0.4522661661349095,1.1236220201453904,1.4586238317709643,1.837894704012328,48712.74133944933
0,P1,4,0.39738981571067383,0.28846575244302625,0.6460164977454307,0.8960304270984286,1.1292827632041025,12152.054322247908
0,P2,4,0.23171739725748006,0.15637954809954144,0.37621587643499294,0.5994453698740708,1.0543445946729406,63481.269923086635
0,P3,4,0.2634126200565528,0.16218108979629164,0.41281982256419286,0.8352808748220326,0.9851054302241522,81125.37762525
50,teacher,-1,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
50,naive,-1,4.8943114125231695,4.092312913090723,7.530667905708498,8.872313928928529,9.499421572045605,50710.252211041196
50,P0,0,1.0715598984564028,0.7791851794050331,1.6887557675623555,2.287100829085446,3.4836925458373713,56347.859967758566
50,P1,0,0.8253791289163414,0.5321510206455334,1.2510280530293965,2.160011843018149,2.5142980832610817,18205.161215421835
50,P2,0,0.7948706020907762,0.43925100775589954,1.3402506782681105,2.2949047444847017,3.7334779973187437,108193.50568252237
50,P3,0,0.5713337285936108,0.39702781701715156,0.8949128430405912,1.4402770245689898,2.1102556506868524,94170.70564636157
50,P0,1,0.9447611029736623,0.7641097825887044,1.5105400529966033,1.768870748322674,2.377259912025494,51623.41403726981
50,P1,1,0.7412397250680455,0.5758339767264289,1.1215140623647148,1.750316177843132,2.6762703072485152,18043.57497229197
50,P2,1,0.9566250081554287,0.40043894138149955,1.830533785902143,2.9785346277211553,4.72816259312637,89220.82479487214
50,P3,1,0.8016461603206704,0.39950073389335233,1.4991005349593347,2.3891255076363556,3.936975759279022,108356.24772404903
50,P0,2,0.9131735420147606,0.5918851893759864,1.608291465127266,2.04390022174591,2.6683492842057888,58067.130265208056
50,P1,2,0.83073035790061,0.6255651146723409,1.3546957194699776,1.7751812864708871,2.6723433014012983,17323.18282592698
50,P2,2,0.5424686828285775,0.3848525791742598,0.8889605052859414,1.327198190403583,1.8030489309128512,122908.81348410045
50,P3,2,0.49988763046534607,0.34360518650503025,0.8417471860169599,1.2470707202114966,1.4521650254971235,111164.71032691182
50,P0,3,1.0148695554442566,0.6619844194305055,1.764304998860548,2.3429511145469966,3.112396594777252,51871.332720612125
50,P1,3,0.7693005872948331,0.5720308138100686,1.3068645524005167,1.7183731778743123,2.345698313545057,18134.271087912373
50,P2,3,0.4774142913365716,0.3507428898255493,0.7741075955193821,1.1415981554803192,1.4387578533050913,86813.457967924
50,P3,3,0.7267753803095731,0.3766838341234357,1.2663381844656623,2.3445734116387675,4.076435203705358,80521.02726590085
50,P0,4,0.9338680880492286,0.6952977375912278,1.5171654142452837,2.072107746687905,2.6530326180707533,52011.842691542755
50,P1,4,0.721809207560136,0.5306648218873656,1.1211117177004581,1.6342829671075332,2.294246732994907,15767.88746674241
50,P2,4,0.8908348500641167,0.3846738527018185,1.7214061748701113,2.723443484609888,4.30050491732149,86180.2658136079
50,P3,4,0.7533819875674922,0.3982527168251977,1.40743521719295,2.178935645193969,3.6782577025594776,65752.90353376653
100,teacher,-1,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
100,naive,-1,6.324801545843577,5.203044413785491,9.699705355022653,11.394354334814807,12.269183594059442,50224.31693134532
100,P0,0,1.2732218905425103,0.861404062624293,2.1292446495771884,2.8408348582648273,3.973182648259467,57677.26678825709
100,P1,0,1.3815365938236537,0.9556630121872919,2.1740289205035452,3.410830544179717,4.844711893668332,26556.78698386162
100,P2,0,1.7254944499808957,1.3723479969143806,2.7574108496425205,3.931926444419233,5.486656337150123,125151.30291757763
100,P3,0,1.4618462595004063,1.077370465450059,2.4207429256606665,3.0907787762456045,3.2479338179216484,111024.29833758528
