cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
teacher,-1,100.0,0.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,0.0,0.0,6.324801545843577,5.203044413785491,9.699705355022653,11.394354334814807,12.269183594059442,50224.31693134532
P0,0,100.0,0.0,0.0,1.2732218905425103,0.861404062624293,2.1292446495771884,2.8408348582648273,3.973182648259467,57677.26678825709
P1,0,100.0,0.0,0.0,1.3815365938236537,0.9556630121872919,2.1740289205035452,3.410830544179717,4.844711893668332,26556.78698386162
P2,0,100.0,0.0,0.0,1.7254944499808957,1.3723479969143806,2.7574108496425205,3.931926444419233,5.486656337150123,125151.30291757763
P3,0,100.0,0.0,0.0,1.4618462595004063,1.077370465450059,2.4207429256606665,3.0907787762456045,3.2479338179216484,111024.29833758528
P0,1,100.0,0.0,0.0,1.4880087729844609,0.8426658426721806,2.6790459974534904,4.119208375184523,5.926799617978816,68618.24061005299
P1,1,100.0,0.0,0.0,1.4362185905635396,1.1267179568954617,2.3439273360766464,3.1396109322734467,4.880527065508161,27548.39365625691
P2,1,100.0,0.0,0.0,1.9612947432883605,1.509706989618034,3.3398321272123845,4.348639885454233,5.87834649729097,77235.38345285686
P3,1,100.0,0.0,0.0,1.8581818291786185,1.3624121424646394,3.1839936918582814,4.22101255071333,5.169417025535282,135565.24698810684
P0,2,100.0,0.0,0.0,1.6269554653958156,1.3739700055434696,2.573341284426315,3.3691723582344224,4.83337924696211,55563.305025189715
P1,2,100.0,0.0,0.0,1.3746939775025389,1.0158688072147442,2.220514703750657,2.812255139259989,3.359764780177258,27201.104300208
P2,2,100.0,0.0,0.0,1.6118559757863622,1.2720214243612322,2.6489286793916826,3.451615580855105,4.341914501723835,112910.67476399093
P3,2,100.0,0.0,0.0,2.5857774215491327,1.934284903893347,4.409507315272795,5.611099364843071,7.578834128154767,107183.1551322376
P0,3,100.0,0.0,0.0,1.5949405871916735,1.0746645570911966,2.2169496852854373,4.719902429315117,5.457465680038084,52868.003415089974
P1,3,100.0,0.0,0.0,1.5456519782729334,1.2261534078104528,2.5322183632523974,3.190671254222792,4.013450134070496,23588.53741756589
