cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
teacher,-1,100.0,0.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,0.0,0.0,6.324801545843577,5.203044413785491,9.699705355022653,11.394354334814807,12.269183594059442,50224.31693134532
P0,0,100.0,0.0,0.0,1.2732218905425103,0.861404062624293,2.1292446495771884,2.8408348582648273,3.973182648259467,57677.26678825709
P1,0,100.0,0.0,0.0,1.3816160056169455,0.9540585011384621,2.188142453159339,3.4425123894516076,4.891850296392121,30687.845803134955
P2,0,100.0,0.0,0.0,1.7254944499808957,1.3723479969143806,2.7574108496425205,3.931926444419233,5.486656337150123,125151.30291757763
P3,0,100.0,0.0,0.0,1.4811934762026577,1.0507947165152511,2.4687140572409163,3.1525641147578845,3.478614812045535,107939.62747223506
P0,1,100.0,0.0,0.0,1.4880087729844609,0.8426658426721806,2.6790459974534904,4.119208375184523,5.926799617978816,68618.24061005299
P1,1,100.0,0.0,0.0,1.692904362017237,1.2820712811353399,2.6678413769147036,4.040117884565059,5.187803069952707,35961.257245182554
P2,1,100.0,0.0,0.0,1.9612947432883605,1.509706989618034,3.3398321272123845,4.348639885454233,5.87834649729097,77235.38345285686
P3,1,100.0,0.0,0.0,1.858143861044588,1.3615745946451814,3.1839934211179894,4.221197406285275,5.169421878259257,136021.47652195915
P0,2,100.0,0.0,0.0,1.6269554653958156,1.3739700055434696,2.573341284426315,3.3691723582344224,4.83337924696211,55563.305025189715
P1,2,100.0,0.0,0.0,1.363717659314452,1.0233530925395797,2.2047945556379602,2.775600287551697,3.345140648459193,31828.28664367611
P2,2,100.0,0.0,0.0,1.6118559757863622,1.2720214243612322,2.6489286793916826,3.451615580855105,4.341914501723835,112910.67476399093
P3,2,100.0,0.0,0.0,2.6812532267872364,1.8494200355236312,4.6276707518714675,6.030446759850162,8.191024321426227,113438.39481934639
P0,3,100.0,0.0,0.0,1.5949405871916735,1.0746645570911966,2.2169496852854373,4.719902429315117,5.457465680038084,52868.003415089974
P1,3,100.0,0.0,0.0,1.652569509552473,1.3222513660659274,2.730790718468242,3.1713840396368767,4.2314329553315275,28343.133915145834
