delay cond p50 p90 p99 max
0 teacher 0.0653 0.1497 0.1591 0.1811
0 naive 2.8564 5.2856 6.2932 6.8307
0 P0 0.4523 1.0591 1.2986 1.8951
0 P1 0.2519 0.6070 0.8278 1.1504
0 P2 0.1706 0.4037 0.6152 1.0543
0 P3 0.1639 0.4128 0.7609 1.2125
50 teacher 0.0653 0.1497 0.1591 0.1811
50 naive 4.0923 7.5307 8.8723 9.4994
50 P0 0.6953 1.6083 2.0721 3.4837
50 P1 0.5720 1.2510 1.7503 2.6763
50 P2 0.3849 1.3403 2.2949 4.7282
50 P3 0.3970 1.2663 2.1789 4.0764
100 teacher 0.0653 0.1497 0.1591 0.1811
100 naive 5.2030 9.6997 11.3944 12.2692
100 P0 1.0747 2.5733 3.4627 5.9268
100 P1 1.1267 2.2890 3.1907 5.0871
100 P2 1.3723 2.7574 3.9186 5.8783
100 P3 1.3624 3.1840 4.0186 7.5788
200 teacher 0.0653 0.1497 0.1591 0.1811
200 naive 7.3981 13.8789 16.2216 17.1674
200 P0 2.1978 5.5323 8.0011 11.5138
200 P1 2.5885 4.6443 5.8065 7.9459
200 P2 2.0350 5.3880 6.5264 8.0623
200 P3 2.7005 5.0870 5.8413 9.6870
400 teacher 0.0653 0.1497 0.1591 0.1811
400 naive 11.1388 21.2140 24.6398 25.6761
400 P0 5.3307 12.2057 15.0297 21.7832
400 P1 6.9254 14.2930 17.5747 23.0888
400 P2 6.0496 9.1675 10.5809 15.1246
400 P3 5.5474 10.1503 12.3159 20.0304
800 teacher 0.0653 0.1497 0.1591 0.1811
800 naive 15.6537 30.2354 34.2364 34.7129
800 P0 12.6152 25.5157 30.8592 37.3248
800 P1 12.5010 26.2958 30.9883 38.0162
800 P2 10.4250 19.2363 21.3116 30.2479
800 P3 10.5480 21.7991 23.8865 31.1445
